id	name	phone	type
0	` arnie morton \ 's of chicago '	310/246 -1501	american
1	` art \ 's delicatessen '	818/762 -1221	american
2	` hotel bel-air '	310/472 -1211	californian
3	` cafe bizou '	818/788 -3536	french
4	campanile	213/938 -1447	american
5	` chinois on main '	310/392 -9025	french
6	citrus	213/857 -0034	californian
7	fenix	213/848 -6677	american
8	granita	310/456 -0488	californian
9	` grill on the alley '	310/276 -0615	american
10	` restaurant katsu '	213/665 -1891	asian
11	` l \ ` orangerie '	310/652 -9770	french
12	` le chardonnay '	213/655 -8880	french
13	` locanda veneta '	310/274 -1893	italian
14	matsuhisa	310/659 -9639	asian
15	` the palm '	310/550 -8811	american
16	patina	213/467 -1108	californian
17	` philippe \ 's the original '	213/628 -3781	american
18	` pinot bistro '	818/990 -0500	french
19	` rex il ristorante '	213/627 -2300	italian
20	spago	310/652 -4025	californian
21	valentino	310/829 -4313	italian
22	` yujean kang \ 's gourmet chinese cuisine '	818/585 -0855	asian
23	'21 club '	212/582 -7200	american
24	aquavit	212/307 -7311	continental
25	aureole	' 212 / 319-1660 '	american
26	` cafe lalo '	212/496 -6031	` coffee bar '
27	` cafe des artistes '	212/877 -3500	continental
28	` carmine \ 's '	212/362 -2200	italian
29	` carnegie deli '	212/757 -2245	delicatessen
30	chanterelle	212/966 -6960	american
31	daniel	212/288 -0033	french
32	dawat	212/355 -7555	asian
33	felidia	212/758 -1479	italian
34	` four seasons grill room '	212/754 -9494	american
35	` gotham bar & grill '	212/620 -4020	american
36	` gramercy tavern '	212/477 -0777	american
37	` island spice '	212/765 -1737	` tel caribbean '
38	` jo jo '	212/223 -5656	american
39	` la caravelle '	212/586 -4252	french
40	` la cote basque '	212/688 -6525	french
41	` le bernardin '	212/489 -1515	french
42	` les celebrites '	212/484 -5113	french
43	lespinasse	212/339 -6719	american
44	lutece	212/752 -2225	french
45	` manhattan ocean club '	' 212 / 371-7777 '	seafood
46	march	212/754 -6272	american
47	` mesa grill '	212/807 -7400	american
48	` mi cocina '	212/627 -8273	mexican
49	montrachet	' 212 / 219-2777 '	french
50	oceana	212/759 -5941	seafood
51	` park avenue cafe '	212/644 -1900	american
52	petrossian	212/245 -2214	french
53	picholine	212/724 -8585	mediterranean
54	pisces	212/260 -6660	seafood
55	` rainbow room '	212/632 -5000	` or 212/632 -5100 american '
56	` river cafe '	718/522 -5200	american
57	` san domenico '	212/265 -5959	italian
58	` second avenue deli '	212/677 -0606	delicatessen
59	seryna	212/980 -9393	asian
60	` shun lee west '	212/371 -8844	asian
61	` sign of the dove '	212/861 -8080	american
62	` smith & wollensky '	212/753 -1530	american
63	` tavern on the green '	212/873 -3200	american
64	` uncle nick \ 's '	212/315 -1726	mediterranean
65	` union square cafe '	212/243 -4020	american
66	` virgil \ 's '	' 212 / 921-9494 '	american
67	` chin \ 's '	702/733 -8899	asian
68	` coyote cafe '	702/891 -7349	southwestern
69	` le montrachet '	702/732 -5111	continental
70	` palace court '	702/731 -7547	continental
71	` second street grille '	702/385 -3232	seafood
72	` steak house '	702/734 -0410	` steak houses '
73	tillerman	702/731 -4036	seafood
74	abruzzi	404/261 -8186	italian
75	bacchanalia	404/365 -0410	international
76	` bone \ 's '	404/237 -2663	american
77	` brasserie le coze '	404/266 -1440	french
78	` buckhead diner '	404/262 -3336	american
79	ciboulette	404/874 -7600	french
80	delectables	404/681 -2909	american
81	` georgia grille '	404/352 -3517	american
82	` hedgerose heights inn '	404/233 -7673	international
83	` heera of india '	404/876 -4408	asian
84	` indigo coastal grill '	404/876 -0676	caribbean
85	` la grotta '	404/231 -1368	italian
86	` mary mac \ 's tea room '	404/876 -1800	southern
87	` nikolai \ 's roof '	404/221 -6362	continental
88	` pano \ 's and paul \ 's '	404/261 -3662	international
89	` cafe ritz-carlton buckhead '	404/237 -2700	` ext 6108 international '
90	` dining room ritz-carlton buckhead '	404/237 -2700	international
91	` restaurant ritz-carlton atlanta '	404/659 -0400	continental
92	toulouse	404/351 -9533	french
93	` veni vidi vici '	404/875 -8424	italian
94	` alain rondelli '	415/387 -0408	french
95	aqua	415/956 -9662	seafood
96	boulevard	415/543 -6084	american
97	` cafe claude '	415/392 -3505	french
98	` campton place '	415/955 -5555	american
99	` chez michel '	415/775 -7036	french
100	` fleur de lys '	415/673 -7779	french
101	fringale	415/543 -0573	french
102	` hawthorne lane '	415/777 -9779	american
103	` khan toke thai house '	415/668 -6654	asian
104	` la folie '	415/776 -5577	french
105	lulu	415/495 -5775	mediterranean
106	` masa \ 's '	415/989 -7154	french
107	` mifune japan center kintetsu building '	415/922 -0337	asian
108	` plumpjack cafe '	415/563 -4755	mediterranean
109	postrio	415/776 -7825	american
110	` ritz-carlton restaurant and dining room '	415/296 -7465	american
111	` rose pistola '	415/399 -0499	italian
112	bolo	212/228 -2200	mediterranean
113	` il nido '	212/753 -8450	italian
114	remi	212/581 -4242	italian
115	` adriano \ 's ristorante '	310/475 -9807	italian
116	` barney greengrass '	310/777 -5877	american
117	beaurivage	310/456 -5733	french
118	` bistro garden '	310/550 -3900	californian
119	` border grill '	310/451 -1655	mexican
120	` broadway deli '	310/451 -0616	american
121	` ca \ ` brea '	213/938 -2863	italian
122	` ca \ ` del sol '	818/985 -4669	italian
123	` cafe pinot '	213/239 -6500	californian
124	` california pizza kitchen '	310/275 -1101	californian
125	` canter \ 's '	213/651 -2030 .	american
126	cava	213/658 -8898	mediterranean
127	` cha cha cha '	213/664 -7723	caribbean
128	` chan dara '	213/467 -1052	asian
129	` clearwater cafe '	818/356 -0959	` health food '
130	` dining room '	310/275 -5200	californian
131	dive !	310/788 -	` dive american '
132	drago	310/828 -1585	italian
133	` drai \ 's '	310/358 -8585	french
134	` dynasty room '	310/208 -8765	continental
135	eclipse	310/724 -5959	californian
136	` ed debevic \ 's '	310/659 -1952	american
137	` el cholo '	213/734 -2773	mexican
138	` gilliland \ 's '	310/392 -3901	american
139	` gladstone \ 's '	310/454 -3474	american
140	` hard rock cafe '	310/276 -7605	american
141	` harry \ 's bar & american grill '	310/277 -2333	italian
142	` il fornaio cucina italiana '	310/550 -8330	italian
143	` jack sprat \ 's grill '	310/837 -6662	` health food '
144	` jackson \ 's farm '	310/273 -5578	californian
145	` jimmy \ 's '	310/552 -2394	continental
146	joss	310/276 -1886	asian
147	` le colonial '	310/289 -0660	asian
148	` le dome '	310/659 -6919	french
149	` louise \ 's trattoria '	213/667 -0777	italian
150	` mon kee seafood restaurant '	213/628 -6717	asian
151	` morton \ 's '	310/276 -5205	american
152	` nate \ ` n \ ' al \ 's '	310/274 -0101	american
153	nicola	213/485 -0927	american
154	` ocean avenue '	310/394 -5669	american
155	orleans	310/479 -4187	cajun
156	` pacific dining car '	213/483 -6000	american
157	` paty \ 's '	818/761 -9126	american
158	` pinot hollywood '	213/461 -8800	californian
159	posto	818/784 -4400	italian
160	prego	310/277 -7346	italian
161	` rj \ 's the rib joint '	310/274 -7427	american
162	remi	310/393 -6545	italian
163	` restaurant horikawa '	213/680 -9355	asian
164	` roscoe \ 's house of chicken \ ` n \ ' waffles '	213/466 -9329	american
165	` schatzi on main '	310/399 -4800	continental
166	sofi	213/651 -0346	mediterranean
167	swingers	213/653 -5858	american
168	` tavola calda '	213/658 -6340	italian
169	` the mandarin '	310/859 -0926	asian
170	` tommy tang \ 's '	213/937 -5733	asian
171	` tra di noi '	310/456 -0169	italian
172	` trader vic \ 's '	310/276 -6345	asian
173	vida	213/660 -4446	american
174	` west beach cafe '	310/823 -5396	american
175	'20 mott '	212/964 -0380	asian
176	' 9 jones street '	212/989 -1220	american
177	adrienne	212/903 -3918	french
178	agrotikon	212/473 -2602	mediterranean
179	aja	212/473 -8388	american
180	alamo	' 212 / 759-0590 '	mexican
181	` alley \ 's end '	212/627 -8899	american
182	` ambassador grill '	212/702 -5014	american
183	` american place '	212/684 -2122	american
184	` anche vivolo '	212/308 -0112	italian
185	arizona	212/838 -0440	american
186	` arturo \ 's '	212/677 -3820	italian
187	` au mandarin '	212/385 -0313	asian
188	` bar anise '	212/355 -1112	mediterranean
189	barbetta	212/246 -9171	italian
190	` ben benson \ 's '	212/581 -8888	american
191	` big cup '	212/206 -0059	` coffee bar '
192	` billy \ 's '	212/753 -1870	american
193	` boca chica '	212/473 -0108	` latin american '
194	boonthai	212/249 -8484	asian
195	bouterin	212/758 -0323	french
196	` brothers bar-b-q '	212/727 -2775	american
197	bruno	212/688 -4190	italian
198	` bryant park grill roof restaurant and bp cafe '	212/840 -6500	american
199	c3	212/254 -1200	american
200	ct	212/995 -8500	french
201	` cafe bianco '	212/988 -2655	` coffee bar '
202	` cafe botanica '	212/484 -5120	french
203	` cafe la fortuna '	212/724 -5846	` coffee bar '
204	` cafe luxembourg '	212/873 -7411	french
205	` cafe pierre '	212/940 -8185	french
206	` cafe centro '	212/818 -1222	french
207	` cafe fes '	212/924 -7653	mediterranean
208	` caffe dante '	212/982 -5275	` coffee bar '
209	` caffe dell \ ` artista '	212/645 -4431	` coffee bar '
210	` caffe lure '	212/473 -2642	french
211	` caffe reggio '	212/475 -9557	` coffee bar '
212	` caffe roma '	212/226 -8413	` coffee bar '
213	` caffe vivaldi '	212/691 -7538	` coffee bar '
214	` caffe bondi ristorante '	212/691 -8136	italian
215	` capsouto freres '	212/966 -4900	french
216	` captain \ 's table '	212/697 -9538	seafood
217	` casa la femme '	212/505 -0005	` middle eastern '
218	` cendrillon asian grill & marimba bar '	212/343 -9012	asian
219	` chez jacqueline '	212/505 -0727	french
220	chiam	212/371 -2323	asian
221	` china grill '	212/333 -7788	american
222	cite	212/956 -7100	french
223	` coco pazzo '	212/794 -0205	italian
224	` columbus bakery '	212/421 -0334	` coffee bar '
225	` corrado cafe '	212/753 -5100	` coffee bar '
226	` cupcake cafe '	212/465 -1530	` coffee bar '
227	` da nico '	212/343 -1212	italian
228	` dean & deluca '	212/254 -8776	` coffee bar '
229	diva	212/941 -9024	italian
230	` dix et sept '	212/645 -8023	french
231	docks	' 212 / 986-8080 '	seafood
232	` duane park cafe '	212/732 -5555	american
233	` el teddy \ 's '	212/941 -7070	mexican
234	'em ily \ 's '	212/996 -1212	american
235	'em pire korea '	212/725 -1333	asian
236	` ernie \ 's '	212/496 -1588	american
237	` evergreen cafe '	212/744 -3266	asian
238	` f. ille ponte ristorante '	212/226 -4621	italian
239	felix	212/431 -0021	french
240	ferrier	212/772 -9000	french
241	` fifty seven fifty seven '	212/758 -5757	american
242	` film center cafe '	' 212 / 262-2525 '	american
243	` fiorello \ 's roman cafe '	212/595 -5330	italian
244	firehouse	212/595 -3139	american
245	first	212/674 -3823	american
246	` fishin eddie '	212/874 -3474	seafood
247	` fleur de jour '	212/355 -2020	` coffee bar '
248	flowers	212/691 -8888	american
249	follonico	212/691 -6359	italian
250	` fraunces tavern '	212/269 -0144	american
251	` french roast '	212/533 -2233	french
252	` french roast cafe '	212/799 -1533	` coffee bar '
253	` frico bar '	212/564 -7272	italian
254	` fujiyama mama '	212/769 -1144	asian
255	` gabriela \ 's '	212/961 -0574	mexican
256	` gallagher \ 's '	212/245 -5336	american
257	` gianni \ 's '	212/608 -7300	seafood
258	girafe	212/752 -3054	italian
259	global	212/477 -8427	american
260	` golden unicorn '	' 212 / 941-0911 '	asian
261	` grand ticino '	212/777 -5922	italian
262	halcyon	212/468 -8888	american
263	` hard rock cafe '	212/489 -6565	american
264	` hi-life restaurant and lounge '	212/249 -3600	american
265	home	212/243 -9579	american
266	` hudson river club '	212/786 -1500	american
267	' i trulli '	212/481 -7372	italian
268	` il cortile '	212/226 -6060	italian
269	` inca grill '	212/966 -3371	` latin american '
270	indochine	212/505 -5111	asian
271	` internet cafe '	' 212 / 614-0747 '	` coffee bar '
272	ipanema	212/730 -5848	` latin american '
273	` jean lafitte '	212/751 -2323	french
274	` jewel of india '	212/869 -5544	asian
275	` jimmy sung \ 's '	212/682 -5678	asian
276	` joe allen '	212/581 -6464	american
277	` judson grill '	212/582 -5252	american
278	` l \ ` absinthe '	212/794 -4950	french
279	` l \ ` auberge '	212/288 -8791	` middle eastern '
280	` l \ ` auberge du midi '	212/242 -4705	french
281	` l \ ` udo '	212/388 -0978	french
282	` la reserve '	212/247 -2993	french
283	` lanza restaurant '	212/674 -7014	italian
284	` lattanzi ristorante '	212/315 -0980	italian
285	layla	212/431 -0700	` middle eastern '
286	` le chantilly '	212/751 -2931	french
287	` le colonial '	' 212 / 752-0808 '	asian
288	` le gamin '	212/254 -4678	` coffee bar '
289	` le jardin '	212/343 -9599	french
290	` le madri '	212/727 -8022	italian
291	` le marais '	212/869 -0900	american
292	` le perigord '	212/755 -6244	french
293	` le select '	212/875 -1993	american
294	` les halles '	212/679 -4111	french
295	` lincoln tavern '	212/721 -8271	american
296	lola	212/675 -6700	american
297	` lucky strike '	212/941 -0479	` or 212/941 -0772 american '
298	` mad fish '	212/787 -0202	seafood
299	` main street '	212/873 -5025	american
300	` mangia e bevi '	212/956 -3976	italian
301	` manhattan cafe '	212/888 -6556	american
302	` manila garden '	212/777 -6314	asian
303	marichu	212/370 -1866	french
304	` marquet patisserie '	212/229 -9313	` coffee bar '
305	match	212/906 -9173	american
306	` matthew \ 's '	212/838 -4343	american
307	` mavalli palace '	212/679 -5535	asian
308	` milan cafe and coffee bar '	212/807 -1801	` coffee bar '
309	` monkey bar '	212/838 -2600	american
310	montien	212/421 -4433	asian
311	` morton \ 's '	212/972 -3315	american
312	` motown cafe '	212/581 -8030	american
313	` new york kom tang soot bul house '	' 212 / 947-8482 '	asian
314	` new york noodletown '	212/349 -0923	asian
315	newsbar	212/255 -3996	` coffee bar '
316	odeon	212/233 -0507	american
317	orso	212/489 -7212	italian
318	` osteria al droge '	212/944 -3643	italian
319	otabe	212/223 -7575	asian
320	pacifica	212/941 -4168	asian
321	palio	212/245 -4850	italian
322	pamir	212/644 -9258	` middle eastern '
323	` parioli romanissimo '	212/288 -2391	italian
324	patria	212/777 -6211	` latin american '
325	` peacock alley '	212/872 -4895	french
326	` pen & pencil '	212/682 -8660	american
327	` penang soho '	212/274 -8883	asian
328	persepolis	212/535 -1100	` middle eastern '
329	` planet hollywood '	212/333 -7827	american
330	pomaire	' 212 / 956-3055 '	` latin american '
331	` popover cafe '	212/595 -8555	american
332	` post house '	212/935 -2888	american
333	rain	212/501 -0776	asian
334	` red tulip '	212/734 -4893	` eastern european '
335	republic	212/627 -7172	asian
336	` roettelle a. g '	212/674 -4140	continental
337	` rosa mexicano '	212/753 -7407	mexican
338	` ruth \ 's chris '	212/245 -9600	american
339	s.p.q.r	212/925 -3120	italian
340	` sal anthony \ 's '	212/982 -9030	italian
341	` sammy \ 's roumanian steak house '	212/673 -0330	` east european '
342	` san pietro '	212/753 -9015	italian
343	` sant ambroeus '	212/570 -2211	` coffee bar '
344	` sarabeth \ 's kitchen '	212/496 -6280	american
345	` sea grill '	212/332 -7610	seafood
346	serendipity	212/838 -3531	american
347	` seventh regiment mess and bar '	212/744 -4107	american
348	sfuzzi	212/873 -3700	american
349	shaan	' 212 / 977-8400 '	asian
350	` sofia fabulous pizza '	212/734 -2676	italian
351	` spring street natural restaurant & bar '	212/966 -0290	american
352	` stage deli '	212/245 -7850	delicatessen
353	stingray	212/501 -7515	seafood
354	` sweet \ ` n \ ` tart cafe '	212/334 -8088	asian
355	' t salon '	212/925 -3700	` coffee bar '
356	` tang pavillion '	212/956 -6888	asian
357	tapika	' 212 / 397-3737 '	american
358	` teresa \ 's '	212/228 -0604	` east european '
359	terrace	212/666 -9490	continental
360	` the coffee pot '	212/265 -3566	` coffee bar '
361	` the savannah club '	212/496 -1066	american
362	` trattoria dell \ ` arte '	212/245 -9800	italian
363	triangolo	212/472 -4488	italian
364	` tribeca grill '	212/941 -3900	american
365	` trois jean '	212/988 -4858	` coffee bar '
366	` tse yang '	212/688 -5447	asian
367	` turkish kitchen '	212/679 -1810	` middle eastern '
368	` two two two '	212/799 -0400	american
369	` veniero \ 's pasticceria '	212/674 -7264	` coffee bar '
